_id,ltable_vin,rtable_vin,price_price_exm,price_price_anm,price_price_lev_dist,price_price_lev_sim,maker_maker_lev_dist,maker_maker_lev_sim,maker_maker_jar,maker_maker_jwn,maker_maker_exm,maker_maker_jac_qgm_3_qgm_3,miles_miles_exm,miles_miles_anm,miles_miles_lev_dist,miles_miles_lev_sim,exterior_color_exterior_color_jac_qgm_3_qgm_3,exterior_color_exterior_color_cos_dlm_dc0_dlm_dc0,exterior_color_exterior_color_jac_dlm_dc0_dlm_dc0,exterior_color_exterior_color_mel,exterior_color_exterior_color_lev_dist,exterior_color_exterior_color_lev_sim,exterior_color_exterior_color_nmw,exterior_color_exterior_color_sw,label,predicted,proba
85465,WDDSJ4GB2EN143634,WDDSJ4GB2EN143634,0.0,0.9583298608217351,1.0,0.8571428571428572,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9993333333333333,4.0,0.4285714285714286,1.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,1,0,0.1
66228,WA1JCCFS3JR009837,WA1BNAFY8J2017383,0.0,0.9685108956022233,4.0,0.4285714285714286,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.4,0.08695652173913043,0.2886751345948129,0.16666666666666666,0.5591697096824646,15.0,0.4,6.0,9.0,0,0,0.0
32355,WDDKJ6HB5HF356327,WDDKJ6HB5HF356327,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,11.0,1,1,1.0
1556,WDDZF4KB0HA206992,WDDZF4KB9HA023218,0.0,0.9778127758259636,4.0,0.4285714285714286,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9751055790175595,3.0,0.5,0.10344827586206896,0.5773502691896258,0.3333333333333333,0.6724637746810913,18.0,0.21739130434782605,-13.0,5.0,0,0,0.0
78065,JTHSE5BC6F5004451,2T2BK1BAXFC330835,0.0,0.9674894818912001,3.0,0.5714285714285714,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9924215470006404,4.0,0.4285714285714286,0.0,0.0,0.0,0.4318181872367859,20.0,0.09090909090909094,-16.0,1.0,0,0,0.0
32978,5UXWX9C51E0D20003,5UXWX9C51E0D20003,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,23.0,23.0,1,1,1.0
7780,55SWF4KB0HU215453,55SWF4KB0HU215453,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,23.0,23.0,1,1,1.0
4536,WBA8D9C51HK677803,WBAJA7C37HG458103,0.5254237288135594,0.9881768947216071,1.4322033898305084,0.7953995157384989,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8965101076133963,3.0,0.5,0.15151515151515152,0.40824829046386296,0.25,0.6959595680236816,15.0,0.31818181818181823,-4.0,6.0,0,0,0.0
11911,5UXKR0C58H0V65483,5UXKR0C58H0V65483,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,23.0,23.0,1,1,1.0
10352,4JGDA5HB5CA016030,4JGDA5HB5CA016030,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,1,1,1.0
23713,JTHBK1GG7F2203507,JTHBK1GG7F2203507,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,22.0,22.0,1,1,1.0
65784,WBA4F9C30HG812246,WBA4F9C30HG812246,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.8164965809277259,0.6666666666666666,0.918181836605072,9.0,0.5909090909090908,4.0,13.0,1,1,1.0
