name,year,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain,VIN
2017 Audi Q3 2.0T Premium quattro,2017,Audi,Black,26449,Kayser Chrysler Center,(608) 338-1543,4.5,91,21894,19,Brilliant Black,Black,6-Speed Automatic,AWD,WA1ECCFS4HR015934
2017 Audi Q3 2.0T Premium quattro,2017,Audi,Black,27385,Kayser Chrysler Center,(608) 338-1543,4.5,91,22498,19,Brilliant Black,Black,6-Speed Automatic,AWD,WA1ECCFS7HR015748
2015 Audi Q3 2.0T Premium Plus,2015,Audi,Silver,26995,Fields Jaguar Land Rover Volvo Cars Madison,(608) 216-2301,4.3,21,35431,2,Silver,,6-Speed Automatic,AWD,WA1GFCFS7FR007355
2018 Audi Q3 2.0 TFSI Premium Plus quattro AWD,2018,Audi,Black,35400,Zimbrick European,,5,7,4458,4,Brilliant Black,Chestnut Brown,Automatic,AWD,WA1JCCFS9JR008269
