name,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain
2018 Audi A4 2.0T Premium Plus,Audi,Red,49150,Napleton Autowerks Loves Park,(815) 916-4212,4.9,339,,57,Matador Red Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi A4 2.0T Premium Plus,Audi,Blue,49150,Napleton Autowerks Loves Park,(815) 916-4212,4.9,339,,57,Moonlight Blue Metallic,Nougat Brown / Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi A4 2.0T Premium Plus,Audi,White,49150,Bergstrom Imports on Victory Lane,(877) 245-2925,4.3,390,,97,Glacier White Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi A4 2.0T Premium Plus,Audi,White,50450,Bergstrom Imports on Victory Lane,(877) 245-2925,4.3,390,,97,Glacier White Metallic,Black / Express Red,7-Speed Automatic with Auto-Shift,AWD
2018 Audi A4 2.0T Premium Plus,Audi,Gray,49350,Bergstrom Imports on Victory Lane,(877) 245-2925,4.3,390,,97,Manhattan Gray Metallic,Black,6-Speed Manual,AWD
2018 Audi A4 2.0T Premium Plus,Audi,White,49350,Bergstrom Imports on Victory Lane,(877) 245-2925,4.3,390,,97,Glacier White Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi A4 Premium Plus,Audi,Black,49150,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Mythos Black Metallic,Nougat Brown/Black,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi A4 Premium Plus,Audi,Black,50450,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Mythos Black Metallic,Black,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi A4 Premium Plus,Audi,Blue,49290,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Moonlight Blue Metallic,Nougat Brown/Black,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi A4 Premium Plus,Audi,Gray,50700,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Gray,,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi A4 Premium Plus,Audi,Gray,50100,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Manhattan Gray Metallic,Black,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi A4 Premium Plus,Audi,Other,49350,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Gkacier_White,,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi A4 Premium Plus,Audi,White,49210,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Glacier_White,,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi A4 Premium Plus,Audi,Black,50700,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Mythos_Black,Black,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi A4 Premium Plus,Audi,Black,48775,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Brilliant_Black,,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi A4 Premium Plus,Audi,White,49350,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Glacier_White,,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi A4 2.0T Premium Plus,Audi,Gray,48900,The Audi Exchange,(847) 739-9944,4.9,558,,102,Daytona Gray Pearl Effect,Black,6-Speed Manual,AWD
2018 Audi A4 2.0T Premium Plus,Audi,White,49350,The Audi Exchange,(847) 739-9944,4.9,558,,102,Glacier White Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi A4 2.0T Premium Plus,Audi,White,49460,The Audi Exchange,(847) 739-9944,4.9,558,,102,Glacier White Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi A4 2.0T Premium Plus,Audi,Gray,50450,The Audi Exchange,(847) 739-9944,4.9,558,,102,Manhattan Gray Metallic,Black / Express Red,7-Speed Automatic with Auto-Shift,AWD
