name,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain
2018 Audi Q7 3.0T Premium quattro,Audi,Blue,69235,Napleton Autowerks Loves Park,(815) 916-4212,4.9,337,,57,Galaxy Blue Metallic,Nougat Brown,8-Speed Automatic,AWD
2018 Audi Q7 3.0T Premium quattro,Audi,Black,71385,Bergstrom Imports on Victory Lane,(877) 245-2925,4.4,390,,97,Orca Black Metallic,Black,8-Speed Automatic,AWD
2018 Audi Q7 Prestige,Audi,White,71385,Audi Hoffman Estates,(847) 961-4989,4.9,1136,,100,Glacier_White,,8-Speed Automatic w/OD,AWD
2018 Audi Q7 Premium Plus,Audi,White,69535,Audi Hoffman Estates,(847) 961-4989,4.9,1136,,100,Glacier White Metallic,Black,8-Speed Automatic w/OD,AWD
2018 Audi Q7 Prestige,Audi,Other,71235,Audi Hoffman Estates,(847) 961-4989,4.9,1136,,100,Galaxy_Blue,,8-Speed Automatic w/OD,AWD
2018 Audi Q7 Prestige,Audi,Other,71235,Audi Hoffman Estates,(847) 961-4989,4.9,1136,,100,Galaxy_Blue,,8-Speed Automatic w/OD,AWD
2018 Audi Q7 Prestige,Audi,White,71585,Audi Hoffman Estates,(847) 961-4989,4.9,1136,,100,Glacier White Metallic,Black,8-Speed Automatic w/OD,AWD
2018 Audi Q7 Prestige,Audi,White,68710,Audi Hoffman Estates,(847) 961-4989,4.9,1136,,100,Glacier White Metallic,Pistachio Beige,8-Speed Automatic w/OD,AWD
2018 Audi Q7 Prestige,Audi,White,77345,Audi Hoffman Estates,(847) 961-4989,4.9,1136,,100,Glacier White Metallic,Nougat Brown,8-Speed Automatic w/OD,AWD
2018 Audi Q7 2.0T quattro Premium,Audi,White,60060,The Audi Exchange,(847) 739-9944,4.9,558,,102,Glacier White Metallic,Pistachio Beige,8-Speed Automatic,AWD
2018 Audi Q7 3.0T Premium quattro,Audi,Blue,69535,The Audi Exchange,(847) 739-9944,4.9,558,,102,Galaxy Blue Metallic,Nougat Brown,8-Speed Automatic,AWD
2018 Audi Q7 3.0T Premium quattro,Audi,White,70575,The Audi Exchange,(847) 739-9944,4.9,558,,102,Carrara White,Black,8-Speed Automatic,AWD
2018 Audi Q7 3.0T Premium quattro,Audi,Blue,71535,The Audi Exchange,(847) 739-9944,4.9,558,,102,Galaxy Blue Metallic,Nougat Brown,8-Speed Automatic,AWD
2018 Audi Q7 3.0T Premium quattro,Audi,White,71150,The Audi Exchange,(847) 739-9944,4.9,558,,102,Glacier White Metallic,Black,8-Speed Automatic,AWD
2018 Audi Q7 3.0T Premium quattro,Audi,White,71495,The Audi Exchange,(847) 739-9944,4.9,558,,102,Glacier White Metallic,Pistachio Beige,8-Speed Automatic,AWD
2018 Audi Q7 3.0T Premium quattro,Audi,Black,71095,The Audi Exchange,(847) 739-9944,4.9,558,,102,Orca Black Metallic,Black,8-Speed Automatic,AWD
2018 Audi Q7 3.0T Premium quattro,Audi,Gray,71245,The Audi Exchange,(847) 739-9944,4.9,558,,102,Graphite Gray Metallic,Black,8-Speed Automatic,AWD
